taxon1,taxon2,taxon3,taxon4,CF12.34,CF13.24,CF14.23
A_Lyr,Bsch_0,Ha_0,Tha_1,0.281,0.389,0.33
A_Lyr,Bsch_0,Et_0,Rome_1,0.307,0.336,0.357
A_Lyr,Bsch_0,Ha_0,Mnz_0,0.296,0.355,0.35
A_Lyr,Bsch_0,Ha_0,Qar_8a,0.261,0.263,0.476
A_Lyr,Bsch_0,Ha_0,Tu_0,0.317,0.417,0.267
A_Lyr,Bsch_0,Ha_0,Uk_1,0.296,0.375,0.33
A_Lyr,Bsch_0,Ha_0,Pla_0,0.283,0.357,0.361
A_Lyr,Bsch_0,Ha_0,Uod_1,0.299,0.347,0.354
A_Lyr,Bsch_0,Ha_0,Van_0,0.418,0.313,0.269
A_Lyr,Bsch_0,Ha_0,Vind_1,0.423,0.284,0.293
A_Lyr,Bsch_0,Hau_0,Is_0,0.186,0.562,0.253
A_Lyr,Bsch_0,Ha_0,Yo_0,0.514,0.236,0.25
A_Lyr,Bsch_0,Hau_0,Hey_1,0.272,0.419,0.309
A_Lyr,Bsch_0,Ha_0,Wt_5,0.274,0.42,0.306
A_Lyr,Bsch_0,Hau_0,Mnz_0,0.422,0.295,0.283
A_Lyr,Bsch_0,Ha_0,Wa_1,0.305,0.344,0.352
A_Lyr,Bsch_0,Hau_0,Jm_0,0.305,0.364,0.331
A_Lyr,Bsch_0,Hau_0,Kro_0,0.285,0.385,0.331
A_Lyr,Bsch_0,Hau_0,Nw_0,0.261,0.392,0.347
A_Lyr,Bsch_0,Hau_0,Pla_0,0.304,0.349,0.348
A_Lyr,Bsch_0,Hau_0,Pna_17,0.32,0.333,0.347
A_Lyr,Bsch_0,Hau_0,Ragl_1,0.306,0.39,0.304
A_Lyr,Bsch_0,Hau_0,Qar_8a,0.255,0.261,0.484
A_Lyr,Bsch_0,Hau_0,Tha_1,0.318,0.362,0.32
A_Lyr,Bsch_0,Hau_0,Tu_0,0.264,0.436,0.299
A_Lyr,Bsch_0,Hau_0,Uk_1,0.288,0.382,0.33
A_Lyr,Bsch_0,Hau_0,Uod_1,0.319,0.335,0.346
A_Lyr,Bsch_0,Hey_1,Is_0,0.26,0.492,0.248
A_Lyr,Bsch_0,Hau_0,Rome_1,0.272,0.374,0.354
A_Lyr,Bsch_0,Hau_0,Yo_0,0.332,0.321,0.346
A_Lyr,Bsch_0,Hau_0,Van_0,0.284,0.379,0.337
A_Lyr,Bsch_0,Is_0,Mnz_0,0.25,0.214,0.535
A_Lyr,Bsch_0,Hau_0,Vind_1,0.296,0.346,0.358
A_Lyr,Bsch_0,Is_0,Qar_8a,0.16,0.179,0.66
A_Lyr,Bsch_0,Is_0,Jm_0,0.199,0.254,0.547
A_Lyr,Bsch_0,Hey_1,Tha_1,0.381,0.285,0.334
A_Lyr,Bsch_0,Hau_0,Wa_1,0.348,0.317,0.335
A_Lyr,Bsch_0,Is_0,Kro_0,0.192,0.271,0.536
A_Lyr,Bsch_0,Hey_1,Jm_0,0.269,0.321,0.41
A_Lyr,Bsch_0,Is_0,Pla_0,0.215,0.228,0.558
A_Lyr,Bsch_0,Is_0,Nw_0,0.237,0.231,0.532
A_Lyr,Bsch_0,Hey_1,Kro_0,0.27,0.323,0.407
A_Lyr,Bsch_0,Hau_0,Wt_5,0.291,0.425,0.284
A_Lyr,Bsch_0,Hey_1,Pna_17,0.278,0.285,0.437
A_Lyr,Bsch_0,Hey_1,Uod_1,0.269,0.304,0.427
A_Lyr,Bsch_0,Is_0,Rome_1,0.184,0.253,0.563
A_Lyr,Bsch_0,Is_0,Pna_17,0.183,0.24,0.577
A_Lyr,Bsch_0,Hey_1,Tu_0,0.27,0.37,0.36
A_Lyr,Bsch_0,Hey_1,Van_0,0.304,0.301,0.395
A_Lyr,Bsch_0,Hey_1,Wa_1,0.3,0.279,0.421
A_Lyr,Bsch_0,Hey_1,Qar_8a,0.221,0.229,0.55
A_Lyr,Bsch_0,Hey_1,Vind_1,0.305,0.281,0.415
A_Lyr,Bsch_0,Hey_1,Pla_0,0.29,0.291,0.419
A_Lyr,Bsch_0,Hey_1,Mnz_0,0.328,0.28,0.392
A_Lyr,Bsch_0,Hey_1,Rome_1,0.252,0.321,0.427
A_Lyr,Bsch_0,Hey_1,Wt_5,0.303,0.344,0.352
A_Lyr,Bsch_0,Hey_1,Uk_1,0.311,0.306,0.383
A_Lyr,Bsch_0,Hey_1,Yo_0,0.285,0.285,0.429
A_Lyr,Bsch_0,Hey_1,Ragl_1,0.309,0.334,0.357
